abr_ware_code,ware_label_nl,ware_uri,en_aliases,needs_review
,"kurkurnaardewerk, laat-Romeins",https://data.cultureelerfgoed.nl/term/id/abr/640258fa-bbd7-4d9a-8f6b-3c22a6cb24b3,,
,legioenswaar,https://data.cultureelerfgoed.nl/term/id/abr/5aabfe34-5079-47cc-98f7-92ecc8a30e05,,
,"legioenswaar, Nijmeegs-Holdeurn/castra LXG",https://data.cultureelerfgoed.nl/term/id/abr/fa82bc71-bd35-4939-8545-c075c4547a94,,
,"legioenswaar, Wetterau",https://data.cultureelerfgoed.nl/term/id/abr/53dd5cbd-2d83-4fdc-9b28-ad619ab24bf8,,
,majolica,https://data.cultureelerfgoed.nl/term/id/abr/489d384d-6ef5-4cdf-961b-e1bfa4348361,,
,majolica uit de Nederlanden,https://data.cultureelerfgoed.nl/term/id/abr/2f2a5230-7a76-493a-a019-87e33f6459fd,,
,majolicabiscuit,https://data.cultureelerfgoed.nl/term/id/abr/4cfdb7ac-90b9-4784-b76f-398dca8e1b7a,,
,mayenaardewerk,https://data.cultureelerfgoed.nl/term/id/abr/137bcf48-93d8-486a-9eba-6d872e30ad63,,
,mediterraan witbakkend aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e6274417-9c1c-4473-9cfc-a736e1091d1f,,
,mediterraans slibaardewerk,https://data.cultureelerfgoed.nl/term/id/abr/b69eab67-921c-4911-9306-c0a24960779e,,
,metaalglanswaar,https://data.cultureelerfgoed.nl/term/id/abr/e5162d75-03c8-4006-bed6-90128fd3f264,,
,"metaalglanswaar, Argonnen",https://data.cultureelerfgoed.nl/term/id/abr/e4f4d92b-f077-4b17-82e0-ab75df1901f4,,
,"metaalglanswaar, Trier (techniek d)",https://data.cultureelerfgoed.nl/term/id/abr/4cabe585-9455-47c0-b672-49c992d45e40,,
,"metaalglanswaar, laat-Romeins",https://data.cultureelerfgoed.nl/term/id/abr/42c66b48-07c1-4475-ac30-56d28053ab35,,
,pijpaarde,https://data.cultureelerfgoed.nl/term/id/abr/1807a992-c6b4-406d-93fc-999ce716ad23,,
,pingsdorfaardewerk,https://data.cultureelerfgoed.nl/term/id/abr/5eca7ed8-bfca-450a-bfa7-e2b5e654e9c4,,
,pingsdorfaardewerk (Zuid-Limburg type),https://data.cultureelerfgoed.nl/term/id/abr/ec2c5349-a70b-4334-80c5-fc41de29d979,,
,porselein,https://data.cultureelerfgoed.nl/term/id/abr/60a5b007-132c-41cf-b9d3-9cecc35ecd4b,,
,proto-steengoed,https://data.cultureelerfgoed.nl/term/id/abr/9d8f4604-9722-4276-8061-d69ce67fd302,,
,proto-steengoed Brunsum-Schinveld,https://data.cultureelerfgoed.nl/term/id/abr/eb480db9-2e18-4a73-898c-4673a1fafdea,,
,proto-steengoed Langerwehe,https://data.cultureelerfgoed.nl/term/id/abr/36aaae6c-1e94-4086-b24a-8b8f717c06af,,
,proto-steengoed Pingsdorf,https://data.cultureelerfgoed.nl/term/id/abr/4c779b88-2c98-4922-b1d8-6b6bc6fe4485,,
,proto-steengoed Rijnland,https://data.cultureelerfgoed.nl/term/id/abr/c8b1915f-74d3-4daa-b759-0549598c5247,,
,proto-steengoed Siegburg,https://data.cultureelerfgoed.nl/term/id/abr/55430892-8d4e-41ac-992f-bee22263cfaf,,
,regionaal amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/063d637f-af55-4553-a4ee-669fe03a8147,,
,"regionaal amfoor aardewerk, Beneden-Moezel",https://data.cultureelerfgoed.nl/term/id/abr/cd4e9833-fea1-4c65-aa57-129fd11fc5d2,,
,"regionaal amfoor aardewerk, Maasland/Haspengouw",https://data.cultureelerfgoed.nl/term/id/abr/b5521b99-887c-409f-89c9-adc71c102668,,
,"regionaal amfoor aardewerk, Noord-Gallië",https://data.cultureelerfgoed.nl/term/id/abr/2e50e581-968b-41cc-b5c1-7cb912736ccd,,
,"regionaal amfoor aardewerk, Rijnland",https://data.cultureelerfgoed.nl/term/id/abr/f8ceacdd-66b4-41dd-ade3-36c76a832e53,,
,"regionaal amfoor aardewerk, Scheldevallei",https://data.cultureelerfgoed.nl/term/id/abr/8a2281db-1a9e-4c0c-98f2-7372a9598fdc,,
